iter	Passed	Remaining
462	14342	10439
463	14372	10407
464	14401	10375
465	14431	10343
466	14457	10309
467	14488	10278
468	14516	10245
469	14543	10211
470	14573	10179
471	14603	10148
472	14634	10116
473	14659	10082
474	14688	10050
475	14717	10017
476	14746	9985
477	14775	9953
478	14801	9919
479	14835	9890
480	14864	9858
481	14892	9825
482	14921	9793
483	14950	9760
484	14979	9729
485	15007	9696
486	15036	9664
487	15066	9632
488	15095	9600
489	15122	9567
490	15152	9536
491	15180	9503
492	15208	9470
493	15236	9438
494	15265	9406
495	15297	9375
496	15326	9344
497	15354	9311
498	15387	9281
499	15415	9249
500	15440	9215
501	15470	9183
502	15500	9152
503	15534	9123
504	15561	9090
505	15586	9056
506	15614	9023
507	15645	8992
508	15670	8959
509	15697	8925
510	15732	8897
511	15769	8870
512	15795	8836
513	15824	8804
514	15851	8771
515	15878	8739
516	15912	8710
517	15937	8676
518	15965	8644
519	15991	8610
520	16018	8578
521	16045	8545
522	16070	8511
523	16095	8477
524	16120	8444
525	16146	8410
526	16171	8377
527	16197	8343
528	16221	8310
529	16248	8277
530	16278	8246
531	16310	8216
532	16337	8183
533	16362	8150
534	16387	8117
535	16411	8083
536	16438	8050
537	16463	8017
538	16486	7983
539	16512	7950
540	16536	7916
541	16560	7883
542	16584	7849
543	16608	7815
544	16632	7782
545	16657	7749
546	16680	7715
547	16709	7683
548	16732	7650
