iter	RMSE
368	0.1886705194
369	0.188629675
370	0.1885799947
371	0.1885268997
372	0.1883796127
373	0.188180525
374	0.1880026892
375	0.1879723682
376	0.1876718282
377	0.1872584251
378	0.1870723336
379	0.187042571
380	0.1868088334
381	0.1867468485
382	0.186491067
383	0.1864579097
384	0.1862281468
385	0.1861879971
386	0.1858731414
387	0.1857975207
388	0.185789886
389	0.1855696871
390	0.1855220632
391	0.1854497593
392	0.1853895048
393	0.1851388609
394	0.1849326908
395	0.184725934
396	0.1846666153
397	0.1844235729
398	0.1843891098
399	0.1841503297
400	0.184097053
401	0.1839868377
402	0.1839518168
403	0.1838839304
404	0.1836291821
405	0.183594696
406	0.1835248277
407	0.1831991994
408	0.1831598359
409	0.1829703785
410	0.1826541543
411	0.1823750179
412	0.1822923004
413	0.1820626978
414	0.1820082923
415	0.1817665721
416	0.1817436626
417	0.1816935756
418	0.1816490241
419	0.1815944359
420	0.1812970744
421	0.1812566335
422	0.181216382
423	0.1810442853
424	0.1809784892
425	0.1809599918
426	0.1809325337
427	0.18090434
428	0.1808815305
429	0.1805917641
430	0.180324112
431	0.1802418812
432	0.1802104898
433	0.1798591818
434	0.1796824074
435	0.1796066376
436	0.1795551752
437	0.1793532358
438	0.1792916399
439	0.1791862858
440	0.1790222421
441	0.1789646734
442	0.1789253707
443	0.1788543794
444	0.1786788296
445	0.17861185
446	0.1785814806
447	0.1783508158
448	0.1782317936
449	0.1780035405
450	0.1779337304
451	0.1778470935
452	0.1778147412
453	0.1777504205
454	0.1776549223
455	0.1776434991
456	0.1773939835
457	0.1773734627
458	0.1770287895
459	0.1769344211
460	0.1769229684
461	0.1768729681
462	0.1767705404
463	0.1767412523
464	0.1766473379
465	0.1765973185
466	0.176492988
467	0.1764722879
468	0.1764433381
469	0.1760460923
470	0.1760137318
471	0.1759727381
472	0.1759173289
473	0.1758690437
474	0.1756115815
475	0.1755954462
476	0.1755573001
477	0.1755207661
478	0.1755100112
479	0.1754825462
480	0.175437735
481	0.1752081406
482	0.175169671
483	0.1751395315
484	0.174983603
485	0.1749496667
486	0.1747790999
487	0.1746221046
488	0.1745961145
489	0.1743843972
490	0.1743738802
491	0.1743464815
492	0.1743164939
493	0.174271614
494	0.1742289473
495	0.1741683156
496	0.1741397574
497	0.1739369015
498	0.1739041621
499	0.1738803843
500	0.1738702302
501	0.1737133285
502	0.1736744772
503	0.1736477017
504	0.1736360742
505	0.1736040696
506	0.1732962212
507	0.1732239057
508	0.1730637387
509	0.1730135915
510	0.1729711836
511	0.1729190567
512	0.1728736089
513	0.1728095758
514	0.1727853292
515	0.172739098
516	0.1727203328
517	0.1726617411
518	0.172619009
519	0.1726091205
520	0.1725747281
521	0.172532824
522	0.1724968917
523	0.1723434683
524	0.1723035026
525	0.172281447
526	0.1722103422
527	0.1721674313
528	0.1720226652
529	0.1719909937
530	0.1718820285
531	0.1718406191
532	0.1714702481
533	0.1714509558
534	0.1714083509
535	0.1713744722
536	0.1711461664
537	0.1711183654
538	0.1709511759
539	0.1709026868
540	0.1707463313
541	0.1707211466
542	0.1705508812
543	0.170345886
544	0.1703325782
545	0.1703095065
546	0.1702498933
547	0.1701150755
548	0.1700816197
